trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-95.39206569048109,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-81.20698069892234,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-171.6355626333404,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,15,-37.60440239192329,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-206.1982735360802,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-210.56831894414105,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
7,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,13,-52.32852564009745,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-38.40953095512015,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-212.2175115340078,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,16,1.9779149490457861,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.002, 'e': 0.97824023505121}",20,13,-20.908926061790435,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-181.27079627235082,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-80.09665269603406,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-140.76535883477254,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-92.5192375081269,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-200.03831912798404,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.002, 'e': 0.9665715046375066}",30,0,-207.42001674440988,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
18,False,"{'a': 0.002, 'e': 0.9646402934831231}",30,0,-73.04884795783506,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-122.81722652612861,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 3}",0
20,False,"{'a': 0.002, 'e': 0.9607894391523232}",30,0,-172.5231986451686,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9588697805724845}",35,0,-240.79276219285225,"{0: 19, 1: 4, 2: 6, 3: 3, 4: 3}",0
22,False,"{'a': 0.002, 'e': 0.9569539574730467}",20,0,-81.75783405566452,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9550419621907147}",25,0,-152.69980020809183,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-70.94990622333107,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
25,False,"{'a': 0.002, 'e': 0.951229424500714}",25,0,-200.9759935137469,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
26,False,"{'a': 0.002, 'e': 0.9493288668428895}",25,0,-150.32417539921303,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
27,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,0,-55.15395956770651,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9455391358903963}",25,0,-119.95710734756076,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9436499474367985}",25,0,-124.24518112499493,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
