trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.23038181407614,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,5,-43.35508818405454,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.02619662848033,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,22,-28.06031049711029,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.41191079045949,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.56992246962763,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.3525716838392,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,13,-88.65991130588318,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.03913253865748,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-57.495129274867914,"{0: 20, 1: 6, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.83592767254075,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.96316386741586,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.29570470017944,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.5036097884686,"{0: 10, 1: 4, 2: 5, 3: 4, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.442947184590096,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.16361643240057,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.2865911564792,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.96061236595972,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,8,-85.61210095107008,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.22677587992112,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-141.0207748008862,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.524247137551257,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.56630488944748,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.76958752456746,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,9,-10.009559951981084,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-221.0044280153503,"{0: 13, 1: 7, 2: 6, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-128.45120158341496,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.83227299675134,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.24856288452068,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.20139757967715,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
